"gene","importance","Non-unique Gene name","Annotation"
"apxIB~~~ltxB_1~~~ltxB_2~~~uup_1~~~hlyB~~~ltxB",0.000546776615239608,"apxIB;ltxB_1;ltxB_2;uup_1;;hlyB;ltxB","Toxin RTX-I translocation ATP-binding protein;Leukotoxin export ATP-binding protein LtxB;ATP-binding protein Uup;hypothetical protein;Alpha-hemolysin translocation ATP-binding protein HlyB"
"fliF_1~~~fliF~~~fliF_2",0.000546776615239608,"fliF_1;fliF;;fliF_2","Flagellar M-ring protein;hypothetical protein"
"flu_1~~~flu_2~~~flu_3~~~flu~~~flu_13",0.000546336082398069,"flu_1;flu_2;flu_3;;flu;flu_13","Antigen 43;hypothetical protein"
"group_10634",0.000546336082398069,"","hypothetical protein"
"group_34334",0.000546336082398069,"estF","Arylesterase"
"group_3932",0.000546336082398069,"","hypothetical protein"
"apbC",0.000545819798490443,"apbC","Iron-sulfur cluster carrier protein"
"group_31565",0.000545819798490443,"","hypothetical protein"
"group_4202",0.000545819798490443,"","hypothetical protein"
"group_55",0.000545819798490443,"","hypothetical protein"
"group_6723",0.000545819798490443,"","hypothetical protein"
"group_10790",0.000544800504717502,"","hypothetical protein"
"group_34381",0.000544800504717502,"","hypothetical protein;IS91 family transposase ISSbo1"
"group_9806",0.000544800504717502,"","hypothetical protein"
"rhsC_2~~~rhsD_3~~~rhsD~~~rhsD_2~~~rhsD_4~~~rhsD_5~~~rhsD_1~~~ydcD_1~~~ydcD~~~ydcD_2",0.00054439006117879,"rhsC_2;;rhsD_3;rhsD;rhsD_2;rhsD_4;rhsD_5;rhsD_1;ydcD_1;ydcD;ydcD_2","Protein RhsC;hypothetical protein;Protein RhsD;putative protein YdcD"
"group_8492",0.000544333751085091,"","hypothetical protein"
"group_4512",0.000543036134296848,"","hypothetical protein"
"fyuA_1~~~fyuA~~~fyuA_2",0.000541256005390789,"fyuA_1;fyuA;fyuA_2;","Pesticin receptor;hypothetical protein"
"group_6642",0.000541229026195023,"","hypothetical protein"
"era_3~~~era_2",0.000538403149984767,"era_3;era_2;","GTPase Era;hypothetical protein"
"group_2581",0.000537678909596662,"","hypothetical protein"
"scrK_4~~~scrK_2~~~scrK_1~~~scrK",0.000535738054393997,"scrK_4;scrK_2;scrK_1;scrK","Fructokinase"
"group_5504",0.000534901507217578,"","hypothetical protein"
"group_3673",0.000534222694698272,"","hypothetical protein"
"group_2569",0.000533743447414858,"","hypothetical protein"
"group_30057",0.000533743447414858,"","hypothetical protein"
"prsE~~~hlyD",0.000533732681200272,"prsE;;hlyD","Type I secretion system membrane fusion protein PrsE;hypothetical protein;Hemolysin secretion protein D plasmid"
"aaeA_2~~~aaeA_3~~~emrA_1~~~mdtN_1~~~emrA_2~~~aaeA_1~~~farA",0.000533475939462291,"aaeA_2;aaeA_3;;emrA_1;mdtN_1;emrA_2;aaeA_1;farA","p-hydroxybenzoic acid efflux pump subunit AaeA;hypothetical protein;Colistin resistance protein EmrA;Multidrug resistance protein MdtN;Fatty acid resistance protein FarA"
"ydfK~~~ynaE",0.000530924505512842,"ydfK;ynaE","Cold shock protein YdfK;putative protein YnaE"
"group_574",0.000530278868007716,"","hypothetical protein"
"cheA~~~cheA_2~~~cheA_1",0.00052992654442463,"cheA;;cheA_2;cheA_1","Chemotaxis protein CheA;hypothetical protein"
"dam_2~~~dam_1~~~dam_5~~~dam_3~~~dam_4",0.00052992654442463,"dam_2;dam_1;dam_5;dam_3;dam_4","DNA adenine methylase"
"group_2148",0.00052992654442463,"","hypothetical protein"
"group_29763",0.000527813053280979,"","hypothetical protein"
"group_31063",0.000527813053280979,"","hypothetical protein"
"group_34062",0.000527813053280979,"","hypothetical protein"
"group_5399",0.000527271325718837,"","hypothetical protein;IS110 family transposase IS1663"
"group_9830",0.000526635423049204,"","hypothetical protein"
"bcsB~~~bcsB_1~~~bcsB_2",0.000525754746705465,";bcsB;bcsB_1;bcsB_2","hypothetical protein;Cyclic di-GMP-binding protein"
"group_1523",0.000525754746705465,"","hypothetical protein"
"group_973",0.000525754746705465,"","hypothetical protein"
"group_10202",0.000524976034671609,"rplI","Large ribosomal subunit protein bL9"
"group_10645",0.000524976034671609,"","hypothetical protein"
"group_34909",0.000524976034671609,"","hypothetical protein"
"group_5607",0.000524976034671609,"","hypothetical protein"
"group_6298",0.000524976034671609,"","hypothetical protein"
"group_9697",0.000524976034671609,"","hypothetical protein"
"group_9996",0.000524976034671609,"","hypothetical protein"
"lsrB_2",0.000524976034671609,";lsrB_2","hypothetical protein;Autoinducer 2-binding protein LsrB"
"group_1157",0.000524572868638051,"","hypothetical protein"
"group_9896",0.000523707271804841,"","hypothetical protein"
"group_9693",0.000523190987897215,"","hypothetical protein"
"group_2734",0.000520933861855699,"","hypothetical protein"
"cysE_3~~~cysE_1",0.000520624653856716,";cysE_3;cysE_1","hypothetical protein;Serine acetyltransferase"
"group_3262",0.000520624653856716,"","hypothetical protein"
"group_8781",0.000520624653856716,"","hypothetical protein"
"group_343",0.000520248298750192,"","hypothetical protein"
"group_3854",0.000519895361016154,"","hypothetical protein"
"group_10534",0.000519650152941087,"","hypothetical protein"
"hflC_1~~~hflC_2",0.00051922558599371,"hflC_1;;hflC_2","Modulator of FtsH protease HflC;hypothetical protein"
"group_4758",0.000514957615612932,"","hypothetical protein"
"group_8714",0.000514015534071044,"","hypothetical protein"
"group_10587",0.000512757113617535,"","hypothetical protein"
"group_31365",0.000512757113617535,"","hypothetical protein"
"group_35733",0.000512757113617535,"","hypothetical protein"
"group_5234",0.000512757113617535,"","hypothetical protein"
"group_8914",0.000512757113617535,"","hypothetical protein"
"pfeA~~~btuB_3~~~btuB_2",0.000512757113617535,"pfeA;btuB_3;btuB_2","Ferric enterobactin receptor;Vitamin B12 transporter BtuB"
"casA~~~casA_2~~~casA_1",0.000512255961884422,"casA;casA_2;casA_1","CRISPR system Cascade subunit CasA"
"group_5649",0.000512255961884422,"","hypothetical protein"
"group_10777",0.000512249797665953,"","hypothetical protein"
"group_12472",0.000512148048296579,"","hypothetical protein"
"group_30398",0.000512148048296579,"","hypothetical protein"
"group_30485",0.000512148048296579,"","hypothetical protein"
"group_3159",0.000512148048296579,"","hypothetical protein"
"group_5834",0.000512148048296579,"","hypothetical protein"
"group_5948",0.000512148048296579,"","hypothetical protein"
"group_725",0.000512148048296579,"","hypothetical protein"
"group_9337",0.000512148048296579,"","hypothetical protein"
"ydaY",0.000512148048296579,";ydaY","hypothetical protein;Protein YdaY"
"dctM_4~~~dctMQ",0.000511281318297585,"dctM_4;dctMQ","C4-dicarboxylate TRAP transporter large permease protein DctM;Isethionate TRAP transporter permease protein DctMQ"
"manZ_1~~~manZ_4~~~manZ_3",0.0005110369311917,";manZ_1;manZ_4;manZ_3","hypothetical protein;PTS system mannose-specific EIID component"
"group_8508",0.000510702492029003,"","hypothetical protein"
"group_5972",0.000510223083014072,"","hypothetical protein"
"nanS_3",0.000509882928571126,";nanS_3","hypothetical protein;putative 9-O-acetyl-N-acetylneuraminic acid deacetylase"
"group_4932",0.000509669890817133,"","hypothetical protein"
"addA~~~rep_1~~~rep_2~~~addA_1~~~addA_2~~~rep_4",0.000508125963856743,"addA;rep_1;;rep_2;addA_1;addA_2;rep_4","ATP-dependent helicase/nuclease subunit A;ATP-dependent DNA helicase Rep;hypothetical protein"
"group_30654",0.000508125963856743,"","hypothetical protein"
"group_7824",0.000508125963856743,"","hypothetical protein"
"group_7995",0.000508125963856743,"","hypothetical protein"
"group_9613",0.000508125963856743,"","hypothetical protein"
"group_30795",0.000507045909961756,"","hypothetical protein"
"group_8576",0.000506038054129965,"","hypothetical protein"
"tnpR~~~tnpR_3~~~tnpR_1",0.000505566928596268,"tnpR;tnpR_3;tnpR_1","Transposon gamma-delta resolvase;Transposon Tn3 resolvase"
"mbtI~~~mbtI_1~~~mbtI_2",0.000505539643992803,"mbtI;mbtI_1;mbtI_2;","Salicylate synthase;hypothetical protein"
"tamB_1~~~tamB~~~tamB_2~~~tamB_5",0.000505519011059885,"tamB_1;tamB;tamB_2;tamB_5;","Translocation and assembly module subunit TamB;hypothetical protein"
"fecR~~~fecR_1~~~fecI_2~~~fecI~~~fecI_1",0.000505260863187362,"fecR;fecR_1;;fecI_2;fecI;fecI_1","Ferric citrate uptake sigma factor regulator FecR;hypothetical protein;Ferric citrate uptake sigma factor FecI"
"group_28059",0.00050405237021367,"","hypothetical protein"
"group_1103",0.000502593050825562,"","hypothetical protein"
"group_6986",0.000501797385887959,"","IS3 family transposase ISKpn38;hypothetical protein;IS3 family transposase ISBmu11"
"group_7439",0.000501058148357214,"","hypothetical protein"
"group_4823",0.000499275174940972,"","hypothetical protein"
"group_1030",0.000497401367863914,"","hypothetical protein"
"group_4450",0.000495890225071016,"","hypothetical protein"
"group_33979",0.000494826988907682,"","hypothetical protein"
"group_9909",0.000494826988907682,"","hypothetical protein"
"group_31634",0.000494502131526908,"","hypothetical protein"
"group_8823",0.000490608818302762,"","hypothetical protein"
"allS_2",0.00049034746772858,"allS_2","HTH-type transcriptional activator AllS"
"clpV1_2~~~clpV1_1~~~clpV1~~~clpV1_3",0.00049034746772858,";clpV1_2;clpV1_1;clpV1;clpV1_3","hypothetical protein;AAA+ ATPase ClpV1"
"dapH",0.00049034746772858,"dapH","2345-tetrahydropyridine-26-dicarboxylate N-acetyltransferase"
"fliC1_2~~~flaB2~~~fliC1",0.00049034746772858,"fliC1_2;flaB2;fliC1","Flagellin 1;Flagellin FlaB2"
"group_10535",0.00049034746772858,"","hypothetical protein"
"group_10538",0.00049034746772858,"","hypothetical protein"
"group_10550",0.00049034746772858,"","hypothetical protein"
"group_10603",0.00049034746772858,"","hypothetical protein"
"group_10606",0.00049034746772858,"","hypothetical protein"
"group_10639",0.00049034746772858,"","hypothetical protein"
"group_10665",0.00049034746772858,"","hypothetical protein"
"group_10666",0.00049034746772858,"","hypothetical protein"
"group_10694",0.00049034746772858,"","hypothetical protein"
"group_10703",0.00049034746772858,"","hypothetical protein"
"group_10705",0.00049034746772858,"","hypothetical protein"
"group_10735",0.00049034746772858,"","hypothetical protein"
"group_11306",0.00049034746772858,"murJ_2","putative lipid II flippase MurJ"
"group_11307",0.00049034746772858,"","hypothetical protein"
"group_11308",0.00049034746772858,"","hypothetical protein"
"group_11309",0.00049034746772858,"","hypothetical protein"
"group_12765",0.00049034746772858,"","hypothetical protein"
"group_12767",0.00049034746772858,"","hypothetical protein"
"group_12793",0.00049034746772858,"","hypothetical protein"
"group_1335",0.00049034746772858,"","hypothetical protein"
"group_13483",0.00049034746772858,"","hypothetical protein"
"group_1543",0.00049034746772858,"","hypothetical protein"
"group_16638",0.00049034746772858,"","hypothetical protein"
"group_16640",0.00049034746772858,"","hypothetical protein"
"group_18972",0.00049034746772858,"","hypothetical protein"
"group_19116",0.00049034746772858,"nleG8","E3 ubiquitin-protein ligase NleG8"
"group_19164",0.00049034746772858,"recF_2","DNA replication and repair protein RecF"
"group_1922",0.00049034746772858,"","hypothetical protein"
"group_19228",0.00049034746772858,"","hypothetical protein"
"group_19909",0.00049034746772858,"","hypothetical protein"
"group_20215",0.00049034746772858,"","hypothetical protein"
"group_2070",0.00049034746772858,"","hypothetical protein"
"group_2206",0.00049034746772858,"","IS3 family transposase ISAs17;IS3 family transposase ISEc36;IS3 family transposase IS2;hypothetical protein"
