"gene","importance","Non-unique Gene name","Annotation"
"group_10095",6.58978568982651e-05,"","hypothetical protein"
"higB1~~~higB1_2",6.56903685748438e-05,"higB-1;higB-1_2","Toxin HigB-1"
"group_3656",6.56318555133535e-05,"","hypothetical protein"
"mshA_1~~~mshA~~~mshA_2~~~bshA",6.51652980690831e-05,"mshA_1;mshA;;mshA_2;bshA","D-inositol-3-phosphate glycosyltransferase;hypothetical protein;N-acetyl-alpha-D-glucosaminyl L-malate synthase"
"group_9964",6.51070342652442e-05,"","hypothetical protein"
"group_5501",6.39724297289341e-05,"","hypothetical protein"
"group_5475",6.37627705266153e-05,"","hypothetical protein"
"lsrA~~~lsrA_2",6.375189781057e-05,"lsrA;lsrA_2","Autoinducer 2 import ATP-binding protein LsrA"
"rfbP~~~rfbP_2~~~rfbP_1",6.35958241790431e-05,"rfbP;rfbP_2;rfbP_1","Undecaprenyl-phosphate galactose phosphotransferase"
"gnd_2~~~gnd",6.32929552221e-05,"gnd_2;gnd","6-phosphogluconate dehydrogenase decarboxylating"
"group_9625",6.31584960440827e-05,"coaA_1;;coaA_2","Pantothenate kinase;hypothetical protein"
"group_27455",6.28162193549691e-05,";yqjZ","hypothetical protein;putative protein YqjZ"
"group_2935",6.25634077242863e-05,"","hypothetical protein"
"group_29405",6.23016201831688e-05,"","hypothetical protein"
"group_6977",6.22138156463932e-05,"","IS1 family transposase IS1X2;hypothetical protein;IS1 family transposase IS1A;IS1 family transposase IS1X4;IS1 family transposase IS1F;IS1 family transposase IS1X1;IS1 family transposase IS1R"
"mepH_2~~~mepH_1",6.21550317189172e-05,";mepH_2;mepH_1","hypothetical protein;Murein DD-endopeptidase MepH"
"group_3366",6.21429622894441e-05,"","hypothetical protein"
"group_3348",6.20961099059147e-05,"","hypothetical protein"
"wza_3~~~wza_1~~~wza_2~~~wza",6.20373695729561e-05,"wza_3;wza_1;wza_2;;wza","Putative polysaccharide export protein Wza;hypothetical protein"
"group_33482",6.17636021393719e-05,"","Tn3 family transposase ISEc63;hypothetical protein"
"parD~~~parD_2~~~parD_1",6.16905254899223e-05,"parD;;parD_2;parD_1","Antitoxin ParD;hypothetical protein"
"smc~~~smc_2",6.1673338249479e-05,";smc;smc_2","hypothetical protein;Chromosome partition protein Smc"
"group_19204",6.16574085423822e-05,"","hypothetical protein"
"group_11250",6.15683932359905e-05,"caf1M","Chaperone protein caf1M"
"group_769",6.14067015658397e-05,"","hypothetical protein"
"group_7064",6.12947232729135e-05,"","Putative transposase for insertion sequence element IS5376;hypothetical protein"
"group_10977",6.11390431937635e-05,"","hypothetical protein"
"group_1628",6.11101242074894e-05,"","hypothetical protein"
"group_1565",6.07896468154274e-05,"","hypothetical protein"
